id,nome,generos,source
14749,Ore no Kanojo to Osananajimi ga Shuraba Sugiru (Oreshura),"Comedy, Romance",Light novel
38483,Ore wo Suki nano wa Omae dake ka yo,"Comedy, Romance",Light novel
40936,Ore wo Suki nano wa Omae dake ka yo: Oretachi no Game Set,"Comedy, Romance",Light novel
50739,Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken,Romance,Light novel
40746,Overflow,Hentai,Manga
35073,Overlord II,"Action, Adventure, Fantasy",Light novel
37675,Overlord III,"Action, Adventure, Fantasy",Light novel
48895,Overlord IV,"Action, Adventure, Fantasy",Light novel
39921,Re:Zero kara Hajimeru Isekai Seikatsu - Memory Snow - Manner Movie,Fantasy,Light novel
54857,Re:Zero kara Hajimeru Isekai Seikatsu 3rd Season,"Drama, Fantasy, Suspense",Light novel
38992,Rikei ga Koi ni Ochita no de Shoumei shitemita.,"Comedy, Romance",Manhwa
23277,Saenai Heroine no Sodatekata,"Comedy, Romance, Ecchi",Light novel
30727,Saenai Heroine no Sodatekata ♭,"Comedy, Romance, Ecchi",Light novel
35338,Saenai Heroine no Sodatekata ♭: Koi to Junjou no Service-kai,"Comedy, Romance, Ecchi",Light novel
58714,"Saikyou no Shienshoku ""Wajutsushi"" de Aru Ore wa Sekai Saikyou Clan wo Shitagaeru","Action, Adventure, Fantasy",Light novel
57433,Seishun Buta Yarou wa Santa Claus no Yume wo Minai,"Drama, Romance, Supernatural",Light novel
8675,Seitokai Yakuindomo (Student Council Staff Members),Comedy,Manga
10119,Seitokai Yakuindomo OVA,Comedy,Manga
20847,Seitokai Yakuindomo*,Comedy,Manga
53912,Seiyuu Radio no Uraomote (The Many Sides of Voice Actor Radio),"Comedy, Drama",Light novel
42351,Senpai ga Uzai Kouhai no Hanashi (My Senpai is Annoying),"Comedy, Romance",Manhwa
10863,Steins;Gate: Oukoubakko no Poriomania,"Comedy, Sci-Fi",Visual novel
34152,Super Danganronpa 2.5: Komaeda Nagito to Sekai no Hakaisha,"Action, Horror, Mystery",Visual novel
36474,Sword Art Online: Alicization,"Action, Adventure, Fantasy",Light novel
39597,Sword Art Online: Alicization - War of Underworld,"Action, Adventure, Fantasy",Light novel
40540,Sword Art Online: Alicization - War of Underworld 2nd Season,"Action, Adventure, Fantasy",Light novel
38826,Tenki no Ko (Weathering with You),"Award Winning, Drama, Romance, Supernatural",Original
47159,Tensai Ouji no Akaji Kokka Saisei Jutsu,"Comedy, Fantasy",Light novel
38793,Tensei shitara Slime Datta Ken OVA,"Action, Comedy, Fantasy",Manga
41488,Tensura Nikki: Tensei shitara Slime Datta Ken (The Slime Diaries),"Comedy, Fantasy",Manga
16870,The Last: Naruto the Movie (Naruto Shippuden the Movie 7: The Last),"Action, Adventure, Fantasy, Romance",Manga
58059,Tsue to Tsurugi no Wistoria (Wistoria: Wand and Sword),"Action, Fantasy",Manga
14813,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,"Comedy, Romance",Light novel
39547,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,"Comedy, Romance",Light novel
23847,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,"Comedy, Romance",Light novel
54839,Yoru no Kurage wa Oyogenai (Jellyfish Can't Swim in the Night),Drama,Original
22729,Aldnoah.Zero,Sci-Fi,Original
34443,Baki,Sports,Manga
14345,Btooom!,"Action, Suspense",Manga
1818,Claymore,"Action, Adventure, Fantasy",Manga
34439,Code Geass: Hangyaku no Lelouch II - Handou,Sci-Fi,Original
34440,Code Geass: Hangyaku no Lelouch III - Oudou,Sci-Fi,Original
1132,Digimon Frontier,"Action, Adventure, Comedy, Drama, Fantasy",Original
31389,Fate/stay night: Unlimited Blade Works 2nd Season - Sunny Day,"Action, Fantasy",Visual novel
53127,Fate/strange Fake: Whispers of Dawn,"Action, Fantasy",Light novel
42984,Gotcha!,Fantasy,Other
10271,Gyakkyou Burai Kaiji: Hakairoku-hen (Kaiji: Against All Rules),Suspense,Manga
3002,Gyakkyou Burai Kaiji: Ultimate Survivor (Kaiji: Ultimate Survivor),Suspense,Manga
48413,Hataraku Maou-sama!! (The Devil is a Part-Timer! Season 2),"Comedy, Supernatural",Light novel
42625,Heion Sedai no Idaten-tachi (The Idaten Deities Know Only Peace),"Action, Adventure, Fantasy",Manga
8074,Highschool of the Dead (High School of the Dead),"Action, Horror, Suspense, Ecchi",Manga
13271,Hunter x Hunter Movie 1: Phantom Rouge,"Action, Adventure, Fantasy",Manga
50197,"Ijiranaide, Nagatoro-san 2nd Attack","Comedy, Romance",Manhwa
249,InuYasha,"Action, Adventure, Fantasy, Romance",Manga
